tree_species,region,county,soil_type,rainfall_mm,temperature_c,altitude_m,soil_ph,planting_season,planting_method,care_level,water_source,tree_age_months,survival_probability,survived,data_source_rainfall,real_climate_data,synthetic_survival_data,dataset_version
Grevillea,Western,Mombasa,Loam,655.8521010931846,21.308678494144075,2329.9848545285126,6.996646210492592,Transition,Direct Seeding,Low,Irrigation,88,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Eucalyptus,Northern,Turkana,Rocky,624.1031783840638,22.5899730617175,501.9469146025358,7.980528898228044,Dry,Cutting,Low,Borehole,49,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,Nairobi,Meru,Clay,663.4008203476576,14.938481493323543,1640.1749605425898,7.462939903482534,Transition,Cutting,Low,Rain-fed,101,0.8600000000000001,1,World Bank Real Data Based,True,True,v2_real_climate
Neem,Nairobi,Garissa,Volcanic,707.1678862630242,27.597118057809187,539.9156305505355,6.077234564055372,Transition,Seedling,High,River,35,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Pine,Rift Valley,Machakos,Black Cotton,619.3087247064561,29.62120816427603,1019.854157170472,6.919250819549979,Wet,Cutting,Medium,Borehole,95,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Neem,North Eastern,Turkana,Red Soil,619.309545595164,30.20885558007038,1966.8779141596208,7.9131382681603455,Dry,Direct Seeding,Low,Rain-fed,65,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Indigenous Mix,Nairobi,Machakos,Clay,709.9770342179926,26.438742297966787,2322.5179201024685,7.428175866714865,Transition,Seedling,High,River,73,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,Central,Nakuru,Volcanic,669.3881299002684,28.16748402271529,1978.2444692693175,6.186804482475161,Transition,Cutting,High,Rain-fed,78,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cedar,Western,Mombasa,Clay,607.5426741458754,29.82321827907003,1806.8320734549848,6.568852545896374,Dry,Seedling,High,Borehole,96,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,Northern,Garissa,Sandy,658.1443956219213,22.95168492482584,2857.1339263949526,6.99716366622134,Wet,Seedling,High,Rain-fed,45,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cedar,Nairobi,Garissa,Clay,607.8455088019998,24.56633716556678,2731.3974962249445,6.848355604789127,Transition,Direct Seeding,High,Rain-fed,62,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Eucalyptus,Western,Machakos,Rocky,607.7299057641102,19.46678390184238,1835.223548438605,6.712074928397458,Transition,Seedling,High,River,59,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Eucalyptus,Central,Kiambu,Sandy,643.1145070209247,13.632476890048885,1252.195774541924,6.212101235943669,Wet,Direct Seeding,High,Rain-fed,87,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Acacia,Nairobi,Kitui,Loam,535.352381209733,16.15660981190234,2964.126135276502,6.105138178778751,Dry,Direct Seeding,Medium,Irrigation,38,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,Eastern,Garissa,Loam,544.7705018169713,24.71744345621218,876.7938599135737,6.770496941851796,Transition,Cutting,Low,Borehole,90,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Wattle,North Eastern,Kiambu,Red Soil,602.9020169805743,9.651505674662014,2594.27526476832,7.189225292598202,Transition,Seedling,Low,Borehole,94,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Neem,Coast,Kakamega,Loam,580.3748374259018,28.53571377141214,1824.126445890016,6.104630727251129,Transition,Direct Seeding,Low,Borehole,9,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Bamboo,Nyanza,Meru,Black Cotton,646.7287600723866,28.08535398490055,710.3499124876221,5.904071785236535,Transition,Seedling,High,Borehole,112,0.95,0,World Bank Real Data Based,True,True,v2_real_climate
