tree_species,region,soil_type,rainfall_mm,temperature_c,altitude_m,soil_ph,planting_season,tree_age_months,survival_probability,survived
Pine,Western,Loam,949.0142459033698,21.308678494144075,2329.9848545285126,6.9966462104925915,Dry,24,0.95,1
Bamboo,Northern,Sandy,917.7739251207378,17.354076665347204,641.0289475677506,7.304996930667062,Wet,21,0.7999999999999999,1
Acacia,Northern,Loam,806.6665479835949,19.861035431983275,1499.6524292881386,5.616664158034038,Wet,55,0.95,0
Pine,Eastern,Clay,1140.3017796507631,21.47627225847784,2200.7688464694493,6.626248129923857,Wet,14,0.95,1
Acacia,Coast,Loam,619.8083930243586,20.541531251033618,2210.5825662803923,6.600381234349003,Wet,17,0.95,1
Bamboo,Coast,Sandy,420.46426582320737,27.459961321788356,1800.170052944527,6.866775698358199,Wet,44,0.7,0
Acacia,Central,Volcanic,865.5914948161587,26.408805194743053,2804.685587557792,5.721231255129799,Wet,45,0.95,1
Eucalyptus,Coast,Volcanic,661.8083687120637,27.285611131094576,1202.3362742184518,6.856740207895621,Dry,25,0.95,0
Eucalyptus,Western,Loam,596.9233999082123,25.05838144420434,513.805292809006,7.538653571137085,Dry,59,0.95,1
Pine,Central,Volcanic,548.2347430332085,20.453938120743928,2657.758564688984,7.058245317068895,Dry,44,0.85,1
Eucalyptus,Coast,Sandy,778.3969635258999,27.01766448946012,798.9856148457543,7.283111968057487,Dry,14,0.8999999999999999,1
Eucalyptus,Eastern,Volcanic,14.076468773076726,26.10951252187612,563.547816860238,5.769728567483261,Wet,4,0.5,0
Cypress,Western,Rocky,639.6750638979485,14.52473064592832,2388.877846357622,6.071995413729056,Wet,42,0.7,0
Bamboo,Northern,Loam,1074.6206353106222,23.643755548298422,2509.180192247786,5.96642514721509,Wet,58,0.95,1
Eucalyptus,Eastern,Volcanic,1017.2249754577631,20.72117681520529,1180.3306234615884,7.119225301353406,Dry,3,0.95,1
Acacia,Western,Clay,3.4471857309589495,23.72758971944383,1055.2695261768256,5.799663418334207,Wet,49,0.7999999999999999,1
Indigenous Mix,Central,Clay,546.1948950632882,17.88755315609969,2240.7606820994706,7.280676474811105,Dry,49,0.9,0
Bamboo,Rift Valley,Volcanic,667.4701930321961,21.579174574094115,1362.6781200667074,7.08587836175341,Wet,26,0.95,0
Bamboo,Coast,Rocky,1030.1890516119213,16.25103711252821,2404.049038321794,6.094093859980999,Wet,6,0.6,1
Indigenous Mix,Western,Rocky,953.727119711481,24.71744345621218,876.7938599135737,6.770496941851796,Wet,59,0.95,1
Eucalyptus,Central,Sandy,1066.2534843248807,25.027415654238375,1371.6649682293234,5.740441377728552,Wet,1,0.8999999999999999,1
Acacia,Rift Valley,Clay,548.7255824710658,25.385930327910497,1853.6199345689145,7.239460998362706,Wet,49,0.95,1
Cypress,Eastern,Clay,877.9648382745271,25.90911435888655,1347.5744776217516,6.373023936531652,Wet,52,0.8999999999999999,1
Pine,Rift Valley,Loam,887.9217419896044,18.42824290986816,512.6539596155467,5.902020128543747,Wet,41,0.95,1
Cypress,Central,Clay,798.5429166046911,20.083383468670483,947.0567730533221,6.41617196145715,Wet,12,0.95,1
Cypress,Northern,Loam,404.4289517725662,25.601936210190985,1974.6771189013596,7.947232145687522,Dry,34,0.75,1
Cypress,Eastern,Loam,1209.3300341960955,27.860144519022,2660.418912679758,6.075463170603888,Wet,49,0.85,1
Acacia,Central,Volcanic,796.5250040654018,22.952993525572616,1198.9008544918966,7.708735055665647,Wet,29,0.95,1
Cypress,Rift Valley,Clay,664.2613302965992,25.88524897451804,1462.7443215048131,7.627841678792143,Wet,31,0.8999999999999999,1
Pine,Rift Valley,Sandy,990.5337652705937,16.598995649797573,1396.6169532404097,6.135409122674347,Dry,40,0.7999999999999999,1
Cypress,Rift Valley,Clay,512.2975710719663,28.910023020859715,1233.9796106612334,7.523402888696284,Wet,13,0.6,1
Pine,Rift Valley,Loam,633.2165306676147,21.36132585768057,2716.54287237665,5.5690419296842615,Dry,58,0.95,1
Bamboo,Northern,Loam,1005.8780571123541,13.936420644051742,576.2506248476236,5.593370471873036,Wet,37,0.95,1
Indigenous Mix,Eastern,Loam,585.4088872220095,25.39798874467338,2057.2261895475003,5.71336866248442,Dry,40,0.95,1
Cypress,Eastern,Sandy,804.5429834779593,24.210370084333658,1307.3911823531148,7.487965486921759,Dry,26,0.95,1
Pine,Northern,Clay,568.4542766729735,30.306508653040773,933.2358001771145,5.891092606677715,Wet,45,0.5,1
Cypress,Coast,Clay,1436.6468591037901,27.162326302755734,1549.0001560694748,6.119327473752894,Dry,14,0.5,1
Pine,Rift Valley,Volcanic,715.8035373977539,18.98012040251126,2948.7763215537716,5.938325674723346,Dry,36,0.95,1
Pine,Eastern,Sandy,201.51152853270526,15.499035792032801,2039.625245130541,7.087734127169109,Wet,19,0.30000000000000004,0
Pine,Central,Rocky,921.4926526311575,26.548690874799085,907.3360677035741,5.676421868501075,Wet,32,0.7,0
Cypress,Western,Volcanic,230.78690525340267,28.40270380838732,2108.220546105883,6.645632226228791,Wet,3,0.30000000000000004,0
Bamboo,Rift Valley,Volcanic,456.5154439785795,24.95658058463991,1184.9028183028345,6.0364727992709355,Dry,50,0.85,1
