tree_species,region,county,soil_type,rainfall_mm,temperature_c,altitude_m,soil_ph,planting_season,planting_method,care_level,water_source,tree_age_months,survival_probability,survived
Grevillea,Western,Mombasa,Loam,949.0142459033698,21.308678494144075,2329.9848545285126,6.9966462104925915,Transition,Direct Seeding,Low,Irrigation,88,0.95,1
Eucalyptus,Northern,Turkana,Rocky,869.9285717179232,22.5899730617175,501.9469146025358,7.980528898228044,Dry,Cutting,Low,Borehole,49,0.95,1
Cypress,Nairobi,Meru,Clay,527.5927773436367,14.938481493323543,1640.1749605425898,7.462939903482534,Transition,Cutting,Low,Rain-fed,101,0.8600000000000001,1
Neem,Nairobi,Garissa,Volcanic,191.98411528097233,27.597118057809187,539.9156305505355,6.077234564055372,Transition,Seedling,High,River,35,0.95,1
Pine,Rift Valley,Machakos,Black Cotton,665.9775587080562,29.62120816427603,1019.854157170472,6.919250819549979,Wet,Cutting,Medium,Borehole,95,0.95,1
Neem,North Eastern,Turkana,Red Soil,879.045812069063,30.20885558007038,1966.8779141596206,7.9131382681603455,Dry,Direct Seeding,Low,Rain-fed,65,0.95,1
Indigenous Mix,Nairobi,Machakos,Clay,974.6368384139117,26.438742297966787,2322.5179201024685,7.428175866714865,Transition,Seedling,High,River,73,0.95,1
Cypress,Central,Nakuru,Volcanic,1163.6517026399379,28.167484022715286,1978.2444692693177,6.186804482475161,Transition,Cutting,High,Rain-fed,78,0.95,1
Cedar,Western,Mombasa,Clay,789.2521882670145,29.82321827907003,1806.8320734549852,6.568852545896374,Dry,Seedling,High,Borehole,96,0.95,1
Cypress,Northern,Garissa,Sandy,374.42106109533256,22.951684924825837,2857.1339263949526,6.99716366622134,Wet,Seedling,High,Rain-fed,45,0.95,1
Cedar,Nairobi,Garissa,Clay,641.0719388698883,24.56633716556678,2731.3974962249445,6.848355604789127,Transition,Direct Seeding,High,Rain-fed,62,0.95,1
Eucalyptus,Western,Machakos,Rocky,538.9085136316778,19.46678390184238,1835.223548438605,6.712074928397458,Transition,Seedling,High,River,59,0.95,1
Eucalyptus,Central,Kiambu,Sandy,794.4347586465079,13.632476890048885,1252.195774541924,6.212101235943669,Wet,Direct Seeding,High,Rain-fed,87,0.95,1
Acacia,Nairobi,Kitui,Loam,789.586469088427,16.15660981190234,2964.126135276502,6.105138178778751,Dry,Direct Seeding,Medium,Irrigation,38,0.95,1
Cypress,Eastern,Garissa,Loam,953.727119711481,24.71744345621218,876.7938599135737,6.770496941851796,Transition,Cutting,Low,Borehole,90,0.95,1
Wattle,North Eastern,Kiambu,Red Soil,928.4038522968283,9.651505674662014,2594.27526476832,7.189225292598202,Transition,Seedling,Low,Borehole,94,0.95,1
Neem,Coast,Kakamega,Loam,868.2379803812388,28.53571377141214,1824.1264458900162,6.104630727251129,Transition,Direct Seeding,Low,Borehole,9,0.95,1
Bamboo,Nyanza,Meru,Black Cotton,985.2922536533436,28.08535398490055,710.3499124876221,5.9040717852365345,Transition,Seedling,High,Borehole,112,0.95,0
Wattle,Eastern,Nairobi,Rocky,504.3854608622938,16.53029795465763,1714.0343839655666,6.621060357465618,Dry,Direct Seeding,Low,Borehole,14,0.69,1
Bamboo,Northern,Turkana,Loam,539.7076730061876,22.72930926214155,1419.2895076485838,6.163005919204314,Wet,Cutting,Low,Irrigation,8,0.95,1
Cypress,Eastern,Nakuru,Clay,1209.3300341960955,27.860144519022,2660.418912679758,6.075463170603888,Dry,Seedling,High,Irrigation,44,0.95,1
Eucalyptus,Eastern,Turkana,Volcanic,762.7602833355021,25.701704089738694,2916.637047609174,7.909049942723132,Transition,Cutting,Medium,Rain-fed,33,0.95,1
Cedar,Central,Eldoret,Clay,455.6840081525,28.948014140732955,1135.409122674347,6.238226471047347,Dry,Seedling,Low,Rain-fed,43,0.95,1
Grevillea,North Eastern,Meru,Volcanic,334.56981677280436,19.44753390211202,2028.7842771642013,5.703985451000601,Dry,Seedling,Medium,River,8,0.95,1
Cypress,North Eastern,Machakos,Red Soil,820.5053753311487,19.952955847142213,1596.1853075452175,7.180065338237998,Wet,Seedling,Medium,Irrigation,22,0.95,1
Neem,Coast,Mombasa,Rocky,202.53866404057578,24.13012933417001,2569.672509468972,6.178857289549355,Wet,Seedling,Low,Borehole,109,0.9099999999999999,1
Neem,Nairobi,Machakos,Volcanic,192.4572240027179,22.93227157384714,2487.9654869217593,6.177080628155186,Wet,Seedling,Low,Borehole,117,0.95,1
Bamboo,North Eastern,Eldoret,Volcanic,439.9110778832671,20.327493820795258,891.0926066777151,6.125607245411488,Dry,Direct Seeding,Low,River,1,0.95,1
Indigenous Mix,Northern,Nyeri,Volcanic,401.95047015923086,31.21857898875923,1119.3274737528936,6.389931696628154,Wet,Direct Seeding,Low,Rain-fed,92,0.95,1
Cedar,Northern,Kakamega,Rocky,635.2241277907094,27.483981272207018,1661.6845323490286,7.124434206606908,Wet,Cutting,Medium,Irrigation,52,0.95,1
Grevillea,Rift Valley,Nairobi,Rocky,1756.1100014218907,22.420817605039606,2209.9094234953527,7.039627910974785,Transition,Seedling,Low,River,84,0.95,1
Casuarina,Rift Valley,Turkana,Loam,944.3653185284381,24.33528586364444,2064.849175253932,7.55106710942817,Wet,Cutting,High,Irrigation,35,0.95,1
Jacaranda,Nyanza,Meru,Clay,623.1905729167365,26.248010485105123,795.4120690541406,7.241842913410377,Dry,Seedling,High,Rain-fed,36,0.95,1
Casuarina,Nairobi,Marsabit,Volcanic,1283.2460928177507,24.63980213513237,819.224323556164,6.125041123040262,Dry,Direct Seeding,Low,Rain-fed,55,0.95,1
Jacaranda,Western,Nairobi,Rocky,989.8557312148134,10.729206602411923,1741.4029767076943,6.474045215548008,Dry,Cutting,High,Borehole,105,0.95,0
Indigenous Mix,Western,Garissa,Clay,739.9385312806791,32.123604990005035,1732.5641444295125,5.708211027988149,Transition,Direct Seeding,Low,River,85,0.95,1
Indigenous Mix,Western,Mombasa,Volcanic,796.3259681459256,17.51372814257084,643.8969000416107,6.873822205809339,Transition,Seedling,Low,River,75,0.95,1
Casuarina,North Eastern,Kiambu,Loam,827.0217760944984,22.413652179002394,2596.201909409963,6.565228687617353,Wet,Direct Seeding,High,Rain-fed,66,0.95,1
Grevillea,North Eastern,Turkana,Rocky,1118.2077389540905,23.1874262581097,2700.899921596042,6.091712984205197,Wet,Cutting,High,River,31,0.95,1
Pine,Eastern,Garissa,Volcanic,1057.2978869606059,21.200307350182864,777.9937057653783,6.731562760727147,Transition,Cutting,High,Borehole,105,0.95,1
Bamboo,Coast,Kisumu,Sandy,767.3719554629428,24.008558610494706,1214.2802157046517,7.67149782047365,Dry,Direct Seeding,High,Borehole,32,0.95,1
Acacia,North Eastern,Kiambu,Red Soil,867.227744543125,22.062962003908975,684.4914118384971,6.884635711003302,Dry,Seedling,Low,Borehole,49,0.95,0
Cedar,Nyanza,Kisumu,Rocky,530.8291005916083,29.629149786254157,2342.751764607548,7.788135854172766,Dry,Seedling,Medium,River,8,0.7799999999999999,1
Bamboo,Central,Nyeri,Clay,572.2602015338906,22.75196893238104,2935.9870191654163,7.965526861199008,Dry,Direct Seeding,High,Rain-fed,84,0.95,1
Pine,Coast,Mombasa,Clay,1022.5889049588395,29.383293127148143,1545.6075907265472,7.831821208385033,Wet,Seedling,Low,Rain-fed,65,0.95,1
Eucalyptus,Rift Valley,Nyeri,Loam,615.2642465696865,29.18091734038883,2572.910551766286,6.922703672914369,Transition,Direct Seeding,Low,Irrigation,1,0.95,1
Indigenous Mix,Coast,Machakos,Sandy,1291.657995912186,23.126176764028017,2782.914380644107,6.96287383081368,Transition,Direct Seeding,Medium,Rain-fed,17,0.95,1
Pine,Nyanza,Mombasa,Sandy,836.0886895135696,24.572194170293745,1071.6070137586566,7.179251711014642,Wet,Seedling,Medium,Borehole,34,0.95,1
Wattle,Central,Mombasa,Red Soil,850.9918708721925,27.76622593214228,1902.3449288384656,7.691634006645863,Dry,Seedling,Medium,Borehole,85,0.95,1
Pine,Eastern,Nyeri,Black Cotton,1117.5273460548763,13.206302567884428,1480.6101127493307,6.593687305059323,Dry,Cutting,Medium,Borehole,88,0.95,1
Eucalyptus,Eastern,Eldoret,Volcanic,1090.5885453882033,25.228663943616237,1648.367019865431,7.605228537546774,Wet,Direct Seeding,Medium,Rain-fed,6,0.95,1
