indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'AG.LND.AGRI.ZS', 'value': 'Agricultural land (% of land area)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2024,,,,1
"{'id': 'AG.LND.AGRI.ZS', 'value': 'Agricultural land (% of land area)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2023,,,,1
"{'id': 'AG.LND.AGRI.ZS', 'value': 'Agricultural land (% of land area)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2022,49.7276237832519,,,1
"{'id': 'AG.LND.AGRI.ZS', 'value': 'Agricultural land (% of land area)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2021,49.9898425694908,,,1
"{'id': 'AG.LND.AGRI.ZS', 'value': 'Agricultural land (% of land area)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2020,49.8529509435288,,,1
"{'id': 'AG.LND.AGRI.ZS', 'value': 'Agricultural land (% of land area)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2019,50.2853805741997,,,1
"{'id': 'AG.LND.AGRI.ZS', 'value': 'Agricultural land (% of land area)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2018,50.1751224654742,,,1
"{'id': 'AG.LND.AGRI.ZS', 'value': 'Agricultural land (% of land area)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2017,49.3998842112661,,,1
"{'id': 'AG.LND.AGRI.ZS', 'value': 'Agricultural land (% of land area)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2016,49.9941232385705,,,1
"{'id': 'AG.LND.AGRI.ZS', 'value': 'Agricultural land (% of land area)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2015,49.7483508451348,,,1
"{'id': 'AG.LND.AGRI.ZS', 'value': 'Agricultural land (% of land area)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2014,49.7879716765646,,,1
"{'id': 'AG.LND.AGRI.ZS', 'value': 'Agricultural land (% of land area)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2013,49.8584513476473,,,1
"{'id': 'AG.LND.AGRI.ZS', 'value': 'Agricultural land (% of land area)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2012,49.7606938538848,,,1
"{'id': 'AG.LND.AGRI.ZS', 'value': 'Agricultural land (% of land area)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2011,49.1892068735285,,,1
"{'id': 'AG.LND.AGRI.ZS', 'value': 'Agricultural land (% of land area)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2010,48.2594670906983,,,1
