indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2024,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2023,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2022,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2021,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2020,24.3917906517518,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2019,19.5705272264405,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2018,20.9875653334569,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2017,19.9015512654464,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2016,24.0211862534612,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2015,24.7760612569464,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2014,23.7513870283134,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2013,24.5757635874676,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2012,25.6442241015428,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2011,25.1822165114232,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2010,23.125672688558,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2009,21.8123400307101,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2008,20.6165316808836,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2007,19.638393163132,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2006,18.9780700015085,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2005,18.7357077200666,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2004,18.9859717609877,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2003,19.5827552431843,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2002,20.2950452058061,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2001,20.8918286880027,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2000,21.1420927289239,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1999,20.7041385405372,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1998,19.650477024943,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1997,18.3714097564903,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1996,17.2572383095281,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1995,16.6982642584053,,,0
