indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2024,30.049,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2023,29.52,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2022,29.002,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2021,28.493,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2020,27.995,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2019,27.507,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2018,27.03,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2017,26.562,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2016,26.105,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2015,25.658,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2014,25.221,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2013,24.794,,,0
