indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2024,,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2023,,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2022,,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2021,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2020,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2019,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2018,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2017,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2016,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2015,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2014,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2013,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2012,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2011,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2010,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2009,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2008,630.0,,,0
